Date,Location,nursultan,almaty,Latitude,Longitude,Number of Protesters,Number of Arrests,Type,protest_type,Issue 1,issue1,Issue 2,issue2,Issue 3,issue3,Groups Linked,Groups Linked 2,groups_linked,Target 1,Target 2,Target Type,target_type,Response 1,response1,Response 2,response2,Source,Source Type,Description
30 June 2021,Zhanaozen,0,0,43.362719,52.843677,1200,0,Strike,Disruptive,Labor,Livelihood,Income,Livelihood,,,,,0,Kezbi LLP Oil Service Company,,Foreign Business,Foreign Actor,Meeting,Constructive,,,https://www.youtube.com/watch?v=N1ywndrWRqA,Online Search,"Employees of the Kezbi oil company went on strike, demanding higher wages, updated equipment, holiday pay, injury compensation, and improved working conditions."
30 June 2021,Shymkent,0,0,42.3194322999823,69.5909619268242,20,0,Rally,Rally,Welfare,Government Services,Food,Other,,,,,0,City administration,,Local Government,Local Government,Monitoring,Cautious,,,https://rus.azattyq.org/a/31333506.html,Online Search,"About 20 women organized a rally in front of the city administration. The protesters demanded that the local government increase social benefits, control food prices and solve their housing issues."
28 June 2021,Nur-Sultan (Astana),1,0,51.1316788590451,71.415891531399,Unknown,0,Confrontation,Violent,Welfare,Government Services,,,,,,,0,Ministry of Industry and Infrastructural Development ,,National Government,National Government,Force,Violent,,,"https://youtu.be/RgdzLJZZoNQ
http://socialismkz.info/?p=26094
",Online Search,"A group of mothers gathered outside the Ministry of Industry and Infrastructural Development office demanding better social benefits, housing and social protection. Protesters requested a meeting with the minister. When he did not meet with the women, they stormed the building."
28 June 2021,Nur-Sultan (Astana),1,0,51.1196157237403,71.4369930902759,30,0,Rally,Rally,Justice,Justice,Human Rights,Human Rights,,,,,0,Prosecutor General,Courts,Judicial System,Justice System,Monitoring,Cautious,,,https://rus.azattyq.org/a/31329970.html,Online Search,"About 30 people gathered in front of the Prosecutor General's Office in Nur-Sultan (Astana) demanding to overrule unfair courts' decisions. The protesters traveled from other regions. After unsuccessful attempts to meet with the Prosecutor General, they organized a rally."
27 June 2021,Kapchagay,0,0,43.888805,77.05149,30,0,Rally,Rally,Utilities,Government Services,,,,,,,0,"PGK ""Freight One""",Local Government,Business,Local Non-Gov Actor,Nothing,Neutral,Intimidation,Violent,https://www.youtube.com/watch?v=jIgfxUuEj8s,Online Search,"Residents of Kapchagay protested against the actions of a local utility company, which they claim aggressively shut off water and electricity following unpaid utility bills, and called on the local government to resolve the matter."
26 June 2021,Illiysky District,0,0,43.513185,76.86677,10,0,Rally,Rally,Property,Property & Land,Human Rights,Human Rights,Labor,Livelihood,,,0,Local Government,,Local Government,Local Government,Nothing,Neutral,,,https://bureau.kz/novosti/ilijskij-bunt/,Online Search,"Members of the Bibadzhanov family protested at the city administration office for Iliysky district in Almaty province, arguing that violations of property rights led to the displacement of local residents."
26 June 2021,Uralsk,0,0,51.2207414632759,51.3641041844756,10,0,Rally,Rally,Political Prisoners,Justice,Human Rights,Human Rights,Welfare,Government Services,Democratic Choice of Kazakhstan ,,1,National Government,,National Government,National Government,Nothing,Neutral,,,https://rus.azattyq.org/a/31327560.html,Online Search,"About 10 residents of Uralsk, including 3 activists who launched a hunger strike, gathered in the city square demanding an end to repression and called for the release of political prisoners. They also protested against rising food prices and requested an increase in wages and social benefits."
25 June 2021,Almaty,0,1,43.225739,76.849231,60,0,Rally,Rally,Political Prisoners,Justice,Justice,Justice,Repression,Justice,,,0,Police,,Law Enforcement,Justice System,Nothing,Neutral,,,https://www.youtube.com/watch?v=Efpidl6J6Ug,ACLED,"Supporters of ethnic Kazakh activist Baibolat Kunbolatuly protested outside the Medeu district police station in Almaty, demanding his release from custody following his detention for organizing protests outside the Chinese Consulate in relation to the mass internment campaign in Xinjiang."
25 June 2021,Oital,0,0,42.8911739528635,73.2319239971679,20,0,Rally,Rally,Development,Property & Land,,,,,,,0,Gas Station,Local government,Business,Local Non-Gov Actor,Meeting,Constructive,Promise,Constructive,https://youtu.be/KKIiPtqmN6g,ACLED,Residents of the village of Oital protested near their homes against construction of a gasoline station in their neighborhood.
25 June 2021,Nur-Sultan (Astana),1,0,51.129761971248,71.4416281286519,50,0,Rally,Rally,Welfare,Government Services,,,,,El tiregi,,1,Marat Beketaev - Minister of Justice,Nurlan Ermekbaev - Minister of Defense ,National Government,National Government,Monitoring,Cautious,Meeting,Constructive,https://rus.azattyq.org/a/31326357.html,Online Search,About 50 members of the El Tiregi movement marched from Baiterek tower to the House of Ministries in Nur-Sultan (Astana) demanding the resignation of the ministers of justice and defence.
